0.038
0.037
0.032
0.032
0.032
next
0.210
0.225
0.209
0.193
0.195
next
0.412
0.456
0.448
0.444
0.412
next
0.563
0.622
0.544
0.610
0.521
next
0.809
0.729
0.679
0.753
0.785
next
1.042
0.917
0.934
1.078
0.934
next
1.270
1.390
1.329
1.078
1.179
next
1.408
1.437
1.449
1.461
1.420
next
1.585
1.570
1.622
1.625
1.605
next
1.761
1.710
1.702
1.715
1.828
next
1.970
1.907
2.019
2.195
2.067
next
2.177
2.309
2.499
2.515
2.322
next
